row_index,Company,TypeName,Inches,Screen_name,Screen_Pixcel,cpu_brand,cpu_name,cpu_speedGHz,Ram,Memory,Gpu_brand,Gpu_name,OpSys,Weight,Price
25,HP,Ultrabook,15.6,"Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,8,"256GB SSD",Intel," HD Graphics 620",Windows,1.91,35112
26,Dell,Notebook,15.6,N/A,1366x768,Intel," Core i3 6006U 2",2.00,4,"1TB HDD",Intel," HD Graphics 520",Windows,2.3,22305
27,Apple,Ultrabook,13.3,N/A,1440x900,Intel," Core i5 ",1.60,8,"128GB Flash Storage",Intel," HD Graphics 6000",Mac,1.35,58555
28,Dell,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,8,"256GB SSD",AMD," Radeon 530",Windows,2.2,42624
29,Dell,Ultrabook,15.6,"Full HD ",1920x1080,Intel," Core i7 8650U ",1.90,8,"256GB SSD +  256GB SSD",Intel," UHD Graphics 620",Windows,1.88,69157
30,HP,Notebook,17.3,"Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,8,"1TB HDD",Nvidia," GeForce 930MX",Windows,2.5,47739
31,Chuwi,Notebook,15.6,"Full HD ",1920x1080,Intel," Atom x5-Z8300 4",1.40,4,"64GB Flash Storage",Intel," HD Graphics",Windows,1.89,13053
32,Asus,Notebook,14.0,N/A,1366x768,AMD," E-Series E2-6110 ",1.50,2,"32GB Flash Storage",AMD," Radeon R2",Windows,1.65,10603
33,HP,Notebook,17.3,"Full HD ",1920x1080,AMD," A6-Series 9220 ",2.50,4,"500GB HDD",AMD," Radeon 530",Windows,2.71,23390
34,Dell,Ultrabook,13.3,"Touchscreen / Quad HD+ ",3200x1800,Intel," Core i7 8550U ",1.80,16,"512GB SSD",Intel," UHD Graphics 620",Windows,1.2,99580
35,Apple,Ultrabook,13.3,N/A,1440x900,Intel," Core i5 ",1.60,8,"256GB Flash Storage",Intel," HD Graphics 6000",Mac,1.35,53173
36,Lenovo,Notebook,14.0,N/A,1366x768,Intel," Celeron Dual Core N3350 ",1.10,4,"64GB Flash Storage",Intel," HD Graphics 500",Windows,1.44,13267
37,Acer,Notebook,15.6,N/A,1366x768,Intel," Core i3 7130U ",2.70,4,"1TB HDD",Intel," HD Graphics 620",Linux,2.1,19554
38,Dell,Notebook,17.3,"IPS Panel Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,8,"128GB SSD +  1TB HDD",AMD," Radeon 530",Windows,2.8,52161
39,HP,Notebook,15.6,N/A,1366x768,Intel," Core i5 7200U ",2.50,4,"1TB HDD",Intel," HD Graphics 620",Windows,1.86,26037
40,HP,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,8,"256GB SSD",Nvidia," GeForce 930MX ",Windows,2.1,46833
41,Asus,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i3 6006U 2",2.00,4,"1TB HDD",Intel," HD Graphics 620",Linux,2,20726
42,Dell,Gaming,15.6,"IPS Panel Full HD ",1920x1080,Intel," Core i7 7700HQ ",2.80,16,"256GB SSD +  1TB HDD",Nvidia," GeForce GTX 1060",Windows,2.65,79867
43,Asus,Notebook,15.6,N/A,1366x768,Intel," Core i5 7200U ",2.50,8,"1TB HDD",Nvidia," GeForce 940MX",Linux,2.3,27865
44,Acer,Notebook,15.6,"IPS Panel Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,4,"256GB SSD",Intel," UHD Graphics 620",Windows,2.2,36337
45,Dell,"2 in 1 Convertible",17.3,"Full HD / Touchscreen ",1920x1080,Intel," Core i5 8250U ",1.60,12,"1TB HDD",Nvidia," GeForce 150MX",Windows,2.77,53227
46,Apple,Ultrabook,13.3,"IPS Panel Retina Display ",2560x1600,Intel," Core i5 ",2.00,8,"256GB SSD",Intel," Iris Graphics 540",Mac,1.37,75604
48,Asus,Gaming,17.3,"Full HD ",1920x1080,AMD," Ryzen 1700 3",3.00,8,"256GB SSD +  1TB HDD",AMD," Radeon RX 580",Windows,3.2,69211
49,Dell,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i5 7200U ",2.50,4,"256GB SSD",AMD," Radeon R5 M430",Windows,2.3,34046
50,Asus,Notebook,17.3,N/A,1366x768,Intel," Pentium Quad Core N4200 ",1.10,4,"1TB HDD",Nvidia," GeForce 920MX",Windows,2.8,24828
52,Acer,Notebook,15.6,"IPS Panel Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,8,"256GB SSD",Nvidia," GeForce MX150",Windows,2.2,44808
53,HP,Notebook,15.6,"Full HD ",1920x1080,AMD," A6-Series 9220 ",2.50,4,"256GB SSD",AMD," Radeon R4 Graphics",Windows,1.86,21232
54,HP,Notebook,13.3,"Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,8,"512GB SSD",Intel," UHD Graphics 620",Windows,1.49,58768
55,Acer,Notebook,15.6,N/A,1366x768,Intel," Core i3 7100U ",2.40,4,"1TB HDD",Intel," HD Graphics 620",Windows,2.4,20460
56,Dell,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,8,"256GB SSD",AMD," Radeon 520",Windows,2.13,40908
57,HP,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i3 6006U 2",2.00,4,"128GB SSD",Intel," HD Graphics 520",Windows,1.91,23390
58,Asus,Notebook,15.6,N/A,1366x768,Intel," Core i5 7200U ",2.50,4,"256GB SSD",Intel," HD Graphics 620",Windows,2,31232
59,MSI,Gaming,17.3,"Full HD ",1920x1080,Intel," Core i7 7700HQ ",2.80,16,"256GB SSD +  2TB HDD",Nvidia," GeForce GTX 1070",Windows,2.43,130483
60,Asus,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i3 6006U 2",2.00,4,"256GB SSD",Intel," HD Graphics 520",Linux,2,22111
61,Dell,Notebook,17.3,"Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,16,"256GB SSD +  2TB HDD",AMD," Radeon 530",Windows,2.8,69211
62,Dell,Ultrabook,14.0,"Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,8,"256GB SSD",Intel," UHD Graphics 620",Windows,1.7,46833
63,Lenovo,Notebook,14.0,"IPS Panel Full HD ",1920x1080,Intel," Core i3 7130U ",2.70,8,"256GB SSD",Intel," HD Graphics 620",N/A,1.7,31915
64,Asus,Notebook,14.0,"Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,8,"256GB SSD",Intel," UHD Graphics 620",Windows,1.4,50136
65,HP,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i5 7200U ",2.50,8,"256GB SSD",Intel," HD Graphics 620",Windows,1.86,36763
66,Asus,Ultrabook,15.6,"Full HD ",1920x1080,Intel," Core i7 7700HQ ",2.80,16,"512GB SSD",Nvidia," GeForce GTX 1050 Ti",Windows,1.8,105654
67,HP,Notebook,15.6,N/A,1366x768,Intel," Core i3 6006U 2",2.00,4,"500GB HDD",AMD," Radeon 520",Windows,1.86,23373
68,HP,Notebook,14.0,N/A,1366x768,Intel," Celeron Dual Core N3060 ",1.60,4,"32GB SSD",Intel," HD Graphics 400",Windows,1.44,12201
69,Lenovo,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i5 7200U ",2.50,4,"1TB HDD",Intel," HD Graphics 620",Windows,1.9,29251
70,Asus,Gaming,17.3,"Full HD ",1920x1080,Intel," Core i7 7700HQ ",2.80,12,"1TB HDD",Nvidia," GeForce GTX 1050 Ti",Linux,3,50563
71,Microsoft,Ultrabook,13.5,"Touchscreen ",2256x1504,Intel," Core i5 7200U ",2.50,4,"128GB SSD",Intel," HD Graphics 620",Windows,1.252,58022
72,Dell,Ultrabook,13.3,"IPS Panel Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,64,"256GB SSD",AMD," Radeon 530",Windows,1.4,50882
73,Dell,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,8,"256GB SSD",AMD," Radeon 530",Windows,2.2,46354
74,MSI,Gaming,17.3,"Full HD ",1920x1080,Intel," Core i5 7300HQ ",2.50,8,"128GB SSD +  1TB HDD",Nvidia," GeForce GTX 1050",Windows,2.7,58342
75,Acer,Notebook,14.0,N/A,1366x768,Intel," Core i3 6006U 2",2.00,8,"1TB HDD",Intel," HD Graphics 520",Windows,2.1,20726
76,Asus,Gaming,15.6,"Full HD ",1920x1080,Intel," Core i7 7700HQ ",2.80,8,"1TB HDD",Nvidia," GeForce GTX 1050",Windows,2.2,50563
77,Lenovo,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i5 7200U ",2.50,8,"2TB HDD",Intel," HD Graphics 620",N/A,2.2,27652
78,Dell,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,8,"128GB SSD +  1TB HDD",Intel," UHD Graphics 620",Windows,2.02,45554
79,Acer,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i3 7130U ",2.70,4,"1TB HDD",Nvidia," GeForce MX130",Windows,2.2,28238
80,HP,Notebook,17.3,"Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,8,"128GB SSD +  1TB HDD",Nvidia," GeForce 930MX",Windows,2.5,52055
81,Dell,Ultrabook,15.6,"IPS Panel Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,8,"256GB SSD",Intel," UHD Graphics 620",Windows,1.88,58403
82,Apple,Ultrabook,12.0,"IPS Panel Retina Display ",2304x1440,Intel," Core i5 ",1.30,8,"512GB SSD",Intel," HD Graphics 615",Mac,0.92,80453
83,HP,Notebook,14.0,"Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,8,"256GB SSD",Intel," HD Graphics 620",Windows,1.63,45821
84,Lenovo,Notebook,15.6,"Full HD ",1920x1080,AMD," A6-Series 9220 ",2.50,4,"128GB SSD",AMD," R4 Graphics",Windows,2.2,21259
85,Acer,Notebook,15.6,N/A,1366x768,AMD," A9-Series 9420 3",3.00,4,"1TB HDD",AMD," Radeon R5",Windows,2.1,21046
86,Dell,Gaming,15.6,"IPS Panel Full HD ",1920x1080,Intel," Core i7 7700HQ ",2.80,16,"128GB SSD +  1TB HDD",Nvidia," GeForce GTX 1050 Ti",Windows,2.65,71875
87,HP,Ultrabook,15.6,"IPS Panel Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,8,"256GB SSD",Nvidia," GeForce GTX 940MX",Windows,1.83,37243
88,HP,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i5 7200U ",2.50,8,"256GB SSD",Intel," HD Graphics 620",Windows,1.96,31914
89,Asus,Gaming,15.6,"IPS Panel Full HD ",1920x1080,Intel," Core i7 7700HQ ",2.80,16,"128GB SSD +  1TB HDD",Nvidia," GeForce GTX 1060",Windows,2.2,77203
90,Dell,Ultrabook,13.3,"IPS Panel Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,8,"256GB SSD",Intel," UHD Graphics 620",Windows,1.21,87859
91,Asus,Gaming,15.6,"Full HD ",1920x1080,AMD," FX 9830P 3",3.00,8,"1TB HDD",AMD," Radeon RX 560",Windows,2.45,37243
92,Acer,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,2,"1TB HDD",Nvidia," GeForce MX150",Windows,2.2,36710
93,HP,Notebook,13.3,"Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,16,"512GB SSD",Intel," UHD Graphics 620",Windows,1.49,63776
94,Dell,Gaming,15.6,"Full HD ",1920x1080,Intel," Core i5 7300HQ ",2.50,8,"256GB SSD",Nvidia," GeForce GTX 1060",Windows,2.65,63670
95,Asus,Ultrabook,14.0,"Full HD ",1920x1080,Intel," Core i7 7500U ",2.70,8,"256GB SSD",Intel," HD Graphics 620",Windows,1.25,55891
96,Acer,"2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen ",1920x1080,Intel," Core i5 8250U ",1.60,8,"256GB SSD",Intel," UHD Graphics 620",Windows,1.5,45128
97,Dell,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i7 7500U ",2.70,8,"1TB HDD",AMD," Radeon R5 M430",Linux,2.2,31963
98,Dell,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i3 6006U 2",2.00,4,"256GB SSD",AMD," Radeon R5 M430",Linux,2.2,25841
99,Asus,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i3 7100U ",2.40,6,"256GB SSD",Nvidia," GeForce 920M",Windows,2,30743
100,HP,Gaming,15.6,"IPS Panel Full HD ",1920x1080,Intel," Core i7 7700HQ ",2.80,12,"128GB SSD +  1TB HDD",Nvidia," GeForce GTX 1050",Windows,2.62,66547
101,HP,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i7 7500U ",2.70,8,"256GB SSD",AMD," Radeon 530",Windows,1.91,38308
102,HP,Notebook,15.6,"Full HD ",1920x1080,AMD," E-Series E2-9000e ",1.50,4,"500GB HDD",AMD," Radeon R2",Windows,2.1,18595
103,Dell,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,8,"1TB HDD",AMD," Radeon 520",Linux,2.2,34472
104,HP,Ultrabook,13.3,"IPS Panel Full HD ",1920x1080,Intel," Core i7 7500U ",2.70,8,"256GB SSD",Nvidia," GeForce MX150",Windows,1.38,59620
105,Microsoft,Ultrabook,13.5,"Touchscreen ",2256x1504,Intel," Core i5 7200U ",2.50,8,"256GB SSD",Intel," HD Graphics 620",Windows,1.252,71395
106,HP,Notebook,14.0,"IPS Panel Full HD ",1920x1080,Intel," Core i5 7200U ",2.50,6,"256GB SSD",Nvidia," GeForce 940MX",Windows,1.58,35112
107,Lenovo,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i3 6006U 2",2.00,4,"1TB HDD",Intel," HD Graphics 520",Windows,1.85,22106
108,Asus,Ultrabook,14.0,"IPS Panel Full HD ",1920x1080,Intel," Core i7 7500U ",2.70,8,"256GB SSD",Nvidia," GeForce 940MX",Windows,1.3,63563
109,MSI,Gaming,15.6,"Full HD ",1920x1080,Intel," Core i7 7700HQ ",2.80,16,"256GB SSD +  1TB HDD",Nvidia," GeForce GTX 1050 Ti",Windows,2.2,69211
110,Lenovo,Notebook,14.0,"IPS Panel Full HD ",1920x1080,Intel," Core i7 7500U ",2.70,8,"256GB SSD",Intel," HD Graphics 620",Windows,1.58,78854
111,Asus,Ultrabook,15.6,"Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,16,"256GB SSD +  1TB HDD",Nvidia," GeForce MX150",Windows,1.5,67239
112,Dell,Ultrabook,13.3,"Quad HD+ / Touchscreen ",3200x1800,Intel," Core i7 7560U ",2.40,8,"256GB SSD",Intel," Iris Plus Graphics 640",Windows,1.23,73473
113,Lenovo,"2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen ",1920x1080,Intel," Core i5 7200U ",2.50,8,"256GB SSD",Intel," HD Graphics 620",Windows,1.37,74539
114,HP,Notebook,14.0,"IPS Panel ",1366x768,Intel," Core i5 8250U ",1.60,4,"500GB HDD",Intel," UHD Graphics 620",Windows,1.63,38468
115,Dell,Ultrabook,13.3,"IPS Panel Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,8,"256GB SSD",Intel," UHD Graphics 620",Windows,1.21,86793
117,HP,Notebook,14.0,"Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,8,"512GB SSD",Intel," UHD Graphics 620",Windows,1.63,57756
118,Dell,Notebook,15.6,"IPS Panel Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,8,"256GB SSD +  1TB HDD",Nvidia," GeForce 940MX",Windows,2.16,60224
119,Asus,Notebook,17.3,"Full HD ",1920x1080,Intel," Core i3 6006U 2",2.00,4,"1TB HDD",Nvidia," GeForce 920MX",Windows,2,30050
120,Asus,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,8,"256GB SSD",Nvidia," GeForce 940MX",Windows,1.7,59567
121,Acer,Notebook,15.6,"IPS Panel Full HD / Touchscreen ",1920x1080,Intel," Core i3 7100U ",2.40,6,"1TB HDD",Intel," HD Graphics 620",Windows,2.1,25521
122,MSI,Gaming,15.6,"Full HD ",1920x1080,Intel," Core i7 7700HQ ",2.80,16,"256GB SSD +  2TB HDD",Nvidia," GeForce GTX 1070",Windows,1.8,119427
123,Lenovo,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i5 7200U ",2.50,8,"256GB SSD",Nvidia," GeForce 940MX",N/A,2.2,33513
124,HP,Notebook,17.3,"Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,16,"512GB SSD",Nvidia," GeForce 930MX ",Windows,2.5,67719
125,Acer,Notebook,15.6,N/A,1366x768,AMD," A9-Series 9420 3",3.00,4,"256GB SSD",AMD," Radeon R5",Windows,2.1,24029
127,HP,Notebook,14.0,"Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,8,"1TB HDD",Intel," UHD Graphics 620",Windows,1.63,43263
128,Asus,Notebook,14.0,N/A,1366x768,AMD," E-Series 6110 ",1.50,4,"64GB SSD",AMD," Radeon R2",Windows,1.65,14811
130,HP,Notebook,17.3,"Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,8,"256GB SSD",Intel," UHD Graphics 620",Windows,2.5,49444
131,Dell,Notebook,15.6,N/A,1366x768,Intel," Core i5 7200U ",2.50,8,"1TB HDD",AMD," Radeon R7 M445",Windows,2.36,34045
132,Dell,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i3 6006U 2",2.00,4,"1TB HDD",AMD," Radeon R5 M430",Windows,2.2,23923
133,Acer,Ultrabook,14.0,"IPS Panel Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,8,"256GB SSD",Intel," UHD Graphics 620",Windows,1.6,47100
134,Acer,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i3 7130U ",2.70,4,"256GB SSD",Nvidia," GeForce MX130",Windows,7.2,30476
135,HP,Notebook,15.6,N/A,1366x768,Intel," Core i7 7500U ",2.70,8,"1TB HDD",Intel," HD Graphics 620",Windows,2.05,31861
136,HP,Notebook,14.0,"Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,8,"256GB SSD",Intel," UHD Graphics 620",Windows,1.63,52641
137,Lenovo,Notebook,15.6,N/A,1366x768,Intel," Celeron Dual Core N3350 ",1.10,4,"1TB HDD",Intel," HD Graphics 500",N/A,1.9,13446
138,Asus,Gaming,17.3,"Full HD ",1920x1080,Intel," Core i5 7300HQ ",2.50,8,"128GB SSD +  1TB HDD",Nvidia," GeForce GTX 1050",Windows,3,49977
139,Lenovo,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i5 7200U ",2.50,4,"1TB HDD",Nvidia," GeForce 920MX",N/A,2.2,26587
140,HP,Notebook,13.3,"IPS Panel Full HD ",1920x1080,Intel," Core i5 7200U ",2.50,4,"256GB SSD",Intel," HD Graphics 620",Windows,1.32,37243
141,Acer,Notebook,17.3,"IPS Panel Full HD ",1920x1080,Intel," Core i3 7130U ",2.70,4,"1TB HDD",Nvidia," GeForce MX130",Windows,3,34898
142,Lenovo,Notebook,14.0,"IPS Panel Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,8,"256GB SSD",AMD," Radeon RX 550",Windows,1.75,59462
143,Lenovo,Gaming,15.6,"IPS Panel Full HD ",1920x1080,Intel," Core i7 7700HQ ",2.80,8,"256GB SSD",Nvidia," GeForce GTX 1050M",N/A,2.4,46300
144,Toshiba,Notebook,15.6,N/A,1366x768,Intel," Core i5 6200U ",2.30,4,"500GB HDD",Intel," HD Graphics 520",Windows,2.1,32075
145,HP,Notebook,15.6,N/A,1366x768,AMD," A6-Series 9220 ",2.50,4,"256GB SSD",AMD," Radeon R4 Graphics",Windows,1.86,19660
146,Asus,Ultrabook,14.0,"Full HD ",1920x1080,Intel," Core i7 8550U ",1.80,8,"256GB SSD",Intel," UHD Graphics 620",Windows,1.25,58555
147,HP,Ultrabook,12.5,"IPS Panel 4K Ultra HD / Touchscreen ",3840x2160,Intel," Core M 6Y75 ",1.20,8,"512GB SSD",Intel," HD Graphics 515",Windows,0.97,107306
148,Asus,Notebook,15.6,"Full HD ",1920x1080,Intel," Celeron Dual Core N3350 ",1.10,4,"1TB HDD",Intel," HD Graphics 500",Windows,2,18328
150,Acer,Notebook,15.6,N/A,1366x768,Intel," Core i3 6006U 2",2.00,4,"1TB HDD",Intel," HD Graphics 520",Windows,2.1,23816
151,Dell,Gaming,15.6,"Full HD ",1920x1080,Intel," Core i7 7700HQ ",2.80,16,"512GB SSD",Nvidia," GeForce GTX 1050",Windows,2.56,66561
152,Dell,Gaming,15.6,"Full HD ",1920x1080,Intel," Core i7 7700HQ ",2.80,8,"1.0TB Hybrid",Nvidia," GeForce GTX 1050",Windows,2.62,47899
153,Lenovo,Notebook,15.6,N/A,1366x768,Intel," Core i5 7200U ",2.50,4,"128GB SSD",Intel," HD Graphics 620",Windows,1.9,26533
154,MSI,Gaming,17.3,"Full HD ",1920x1080,Intel," Core i7 7700HQ ",2.80,16,"256GB SSD +  1TB HDD",Nvidia," GeForce GTX 1060",Windows,2.8,100699
155,HP,Ultrabook,14.0,"Full HD ",1920x1080,Intel," Core i5 7500U ",2.70,4,"256GB SSD",Intel," HD Graphics 620",Windows,1.48,57649
156,HP,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,6,"256GB SSD",AMD," Radeon 520",Windows,1.91,32980
157,Lenovo,"2 in 1 Convertible",14.0,"IPS Panel Full HD / Touchscreen ",1920x1080,Intel," Core i3 7100U ",2.40,4,"256GB SSD",Intel," HD Graphics 620",Windows,1.74,33513
158,Asus,"2 in 1 Convertible",13.3,"Full HD / Touchscreen ",1920x1080,Intel," Core i5 8250U ",1.60,8,"256GB SSD",Intel," HD Graphics 620",Windows,1.1,70063
159,Dell,"2 in 1 Convertible",15.6,"Full HD / Touchscreen ",1920x1080,Intel," Core i7 8550U ",1.80,8,"256GB SSD",Intel," UHD Graphics 620",Windows,1.56,55891
160,Toshiba,Notebook,15.6,N/A,1366x768,Intel," Core i3 6006U ",2.20,4,"500GB HDD",Intel," HD Graphics 520",Windows,2.1,23816
161,Asus,Notebook,15.6,N/A,1366x768,AMD," A9-Series 9420 3",3.00,4,"1TB HDD",AMD," Radeon R5 M420",Windows,2.03,21472
162,Acer,Notebook,17.3,"IPS Panel Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,4,"256GB SSD",Nvidia," GeForce MX150",Windows,3,42890
163,Dell,Notebook,15.6,"Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,8,"256GB SSD",AMD," Radeon 520",Windows,2.13,38788
164,Lenovo,Gaming,15.6,"IPS Panel Full HD ",1920x1080,Intel," Core i7 7700HQ ",2.80,16,"256GB SSD",Nvidia," GeForce GTX 1050 Ti",Windows,2.5,57489
165,Acer,Notebook,15.6,N/A,1366x768,Intel," Celeron Dual Core N3350 ",1.10,4,"1TB HDD",Intel," HD Graphics 500",Windows,2.1,18541
166,MSI,Gaming,15.6,"IPS Panel Full HD ",1920x1080,Intel," Core i7 7700HQ ",2.80,16,"256GB SSD +  1TB HDD",Nvidia," GeForce GTX 1060",Windows,2.4,95851
167,Acer,Notebook,15.6,N/A,1366x768,Intel," Pentium Quad Core N4200 ",1.10,4,"1TB HDD",Intel," HD Graphics 505",Windows,2.1,19368
168,Dell,Gaming,15.6,"Full HD ",1920x1080,Intel," Core i7 7700HQ ",2.80,8,"128GB SSD +  1TB HDD",Nvidia," GeForce GTX 1050",Windows,2.56,56503
169,Acer,Notebook,17.3,"IPS Panel Full HD ",1920x1080,Intel," Core i5 8250U ",1.60,8,"256GB SSD",Nvidia," GeForce MX150",Windows,3,45501
